"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default"
"Mexico (standard)","MX","*","","16.0000","","","",""
"Mexico (reduced)","MX","*","","8.0000","","","",""
"Mexico (zero)","MX","*","","0.0000","","","",""
